Sprint,Día,Fecha,Alumno,Módulo,R.A. (Evaluación),Tarea Detallada,Horas
1,1,lun 27 abr,David G.,FOL,R.A. 3,Lectura de convenio colectivo e identificación de derechos y obligaciones laborales.,3.25
1,1,lun 27 abr,David G.,FOL,R.A. 3,Analisi de las tareas y configuración del entorno en github,3.25
1,1,lun 27 abr,Manuel S.,Digitalización,R.A. 5,Definición de la diferencia entre dato e información y ciclo de vida del dato musical.,3.25
1,1,lun 27 abr,Manuel S.,Base de Datos,R.A. 5,Diseño inicial del diagrama Entidad-Relación incluyendo la arquitectura de Roles (RBAC).,3.25
1,2,Mar 28 Abr,David G.,Hardware,R.A. 1,Auditoría física de Proxmox: identificar bloques funcionales (CPU/RAM/Almacenamiento).,3.25
1,2,Mar 28 Abr,David G.,Redes,R.A. 2,Identificación de estándares de red física y mapeo de la topología local del centro/empresa.,3.25
1,2,Mar 28 Abr,Manuel S.,Hardware,R.A. 1,Chequeo de recursos lógicos del servidor y evaluación de prestaciones base.,3.25
1,2,Mar 28 Abr,Manuel S.,Redes,R.A. 2,Identificación del direccionamiento IP actual y configuración de la red de gestión del servidor.,3.25
1,3,mié 29 abr,David G.,Digitalización,R.A. 5,Investigación sobre ciberseguridad básica y protección del dato en aplicaciones web.,3.25
1,3,mié 29 abr,David G.,Sostenibilidad,R.A. 4,Informe contrastando beneficios de la economía circular (hardware Proxmox reutilizado) vs modelo clásico.,3.25
1,3,mié 29 abr,Manuel S.,Diseño (UI),R.A. 8,Generación de prototipos con Google Stitch: Pantalla Inicio (Pública) y Buscador.,3.25
1,3,mié 29 abr,Manuel S.,Diseño (UI),R.A. 8,"Generación de prototipos con Google Stitch: Dashboards privados para Grupo, Compositor y Admin.",3.25
1,4,jue 30 abr,David G.,Base de Datos,R.A. 6,"Creación de proyecto en Supabase, tablas vacías y configuración inicial.",3.25
1,4,jue 30 abr,David G.,Diseño (UI),R.A. 8,Revisión UI: Generación de interfaces secundarias y adaptación de colores corporativos.,3.25
1,4,jue 30 abr,Manuel S.,Sistemas,R.A. 8,Configuración de Google Antigravity y conexión con repositorio GitHub.,3.25
1,4,jue 30 abr,Manuel S.,Sostenibilidad,R.A. 4,"Informe sobre principios de ecodiseño aplicados a la interfaz UI (modo oscuro, carga ligera).",3.25
1,Fest,vie 1 may,Ambos,N/A,N/A,FESTIVO: Día del Trabajador.,0
2,5,lun 4 may,David G.,Migración,R.A. 6,Análisis de los Excel origen de Esemble Sonoro y herramientas de extracción.,3.25
2,5,lun 4 may,David G.,Migración,R.A. 7,Programación de script inicial en Python/Node para limpieza de datos (Agentes Antigravity).,3.25
2,5,lun 4 may,Manuel S.,Desarrollo,R.A. 8,Traslado del código HTML/Tailwind desde Google Stitch a Google Antigravity.,3.25
2,5,lun 4 may,Manuel S.,Migración,R.A. 7,Apoyo en script de limpieza: estructuración de JSON y formatos de fecha/texto unificados.,3.25
2,6,Mar 5 May,David G.,Base de Datos,R.A. 6,Importación de un lote de prueba (10 compositores) a Supabase y verificación.,3.25
2,6,Mar 5 May,David G.,Frontend,R.A. 8,Programación de interfaz visual y formularios para el CRUD de Instrumentos.,3.25
2,6,Mar 5 May,Manuel S.,Seguridad,R.A. 7,Configuración de campo user_roles y políticas RLS (Row Level Security) en Supabase.,3.25
2,6,Mar 5 May,Manuel S.,Seguridad,R.A. 7,Pruebas de acceso RLS: Simulación de peticiones no autorizadas (401/403) desde consola SQL.,3.25
2,7,mié 6 may,David G.,Sistemas,R.A. 2,Levantamiento de VM Linux en Proxmox y configuración de adaptador de red.,3.25
2,7,mié 6 may,David G.,Base de Datos,R.A. 6,Resolución de errores de importación masiva interpretando ficheros de log y errores SQL.,3.25
2,7,mié 6 may,Manuel S.,Frontend,R.A. 8,Desarrollo del sistema de Autenticación (Login/Registro) con Supabase Auth.,3.25
2,7,mié 6 may,Manuel S.,Frontend,R.A. 8,Implementación de protección de rutas privadas (Guards) ocultando acciones a usuarios anónimos.,3.25
2,8,jue 7 may,David G.,Digitalización,R.A. 5,Estudio y resumen de características que definen el Cloud Computing.,3.25
2,8,jue 7 may,David G.,Frontend,R.A. 8,Conexión del formulario de Instrumentos con la API de Supabase para alta real de datos.,3.25
2,8,jue 7 may,Manuel S.,Redes,R.A. 2,Uso de comprobadores para verificar la conectividad de la VM con el exterior.,3.25
2,8,jue 7 may,Manuel S.,Sistemas,R.A. 8,Instalación base de dependencias (Node/Nginx) en VM Linux mediante línea de comandos.,3.25
2,9,vie 8 may,David G.,Sostenibilidad,R.A. 4,Análisis del ciclo de vida del producto software y procesos de producción limpios.,2.5
2,9,vie 8 may,David G.,FOL,R.A. 3,Estudio de modelos de contratación vigentes locales para desarrolladores web junior.,2.5
2,9,vie 8 may,Manuel S.,FOL,R.A. 3,Análisis del papel de la Seguridad Social y retenciones en la nómina.,2.5
2,9,vie 8 may,Manuel S.,Hardware,R.A. 1,Ejecución de utilidades de chequeo en Proxmox durante carga de trabajo.,2.5
2,9,vie 8 may,Ambos,Proyecto,N/A,"Sprint Review: Demo a Esemble Sonoro del sistema de Login, protección de rutas y RLS.",1.5
3,10,lun 11 may,David G.,Base de Datos,R.A. 6,"Desarrollo de consultas SQL complejas para cruzar instrumentos, año y región.",3.25
3,10,lun 11 may,David G.,Frontend,R.A. 8,Integración de los filtros de búsqueda y las consultas SQL en la interfaz (Acceso Público).,3.25
3,10,lun 11 may,Manuel S.,Lógica,R.A. 8,"Programación flujo ""Grupo Sube Obra"": Asignación de estado 'Pendiente'.",3.25
3,10,lun 11 may,Manuel S.,Base de Datos,R.A. 6,Ajustes en las tablas para soportar estados de validación y relacionar autores correctamente.,3.25
3,11,Mar 12 May,David G.,Lógica,R.A. 8,"Programación flujo ""Compositor Valida Obra"": Cambio de estado a 'Público'.",3.25
3,11,Mar 12 May,David G.,Base de Datos,R.A. 6,Test de integridad referencial: simular borrado de compositor y efecto cascada en obras.,3.25
3,11,Mar 12 May,Manuel S.,Frontend,R.A. 8,Maquetación de tarjetas de resultados de búsqueda y paginación.,3.25
3,11,Mar 12 May,Manuel S.,Redes,R.A. 2,Configuración del direccionamiento IP estático definitivo en la máquina de Proxmox.,3.25
3,12,mié 13 may,David G.,Lógica (Admin),R.A. 8,Creación de vista Backoffice /admin/usuarios exclusiva para rol Administrador.,3.25
3,12,mié 13 may,David G.,Lógica (Admin),R.A. 6,Programación de acciones de moderación: Cambiar rol de usuario y Banear cuentas de spam.,3.25
3,12,mié 13 may,Manuel S.,Sistemas,R.A. 8,Realización de instalaciones desatendidas de paquetes de actualización en Linux.,3.25
3,12,mié 13 may,Manuel S.,Frontend,R.A. 8,Implementación de notificaciones visuales (Toasts/Alerts) al subir o validar obras.,3.25
